,Id,Name,RatingDist1,pagesNumber,RatingDist4,RatingDistTotal,PublishMonth,PublishDay,Publisher,CountsOfReview,PublishYear,Language,Authors,Rating,RatingDist2,RatingDist5,ISBN,RatingDist3,Description,Count of text reviews,book_id
210,337,El perfume: Historia de un asesino,1:7334,239,4:105950,total:300934,1,6,Booket,262,2002,spa,Patrick SÃ¼skind,4.02,2:16737,5:116750,8432216062,3:54163,,,210
214,348,The Door Into Summer,1:164,304,4:8178,total:21203,17,6,Del Rey,654,1997,eng,Robert A. Heinlein,4.01,2:865,5:7236,0345413997,3:4760,,,214
215,350,Stranger in a Strange Land,1:11617,528,4:81317,total:266867,1,10,Ace,6303,1991,eng,Robert A. Heinlein,3.92,2:18857,5:102853,0441788386,3:52223,,,215
216,353,Time Enough for Love,1:745,589,4:9943,total:30796,15,8,Ace,642,1988,eng,Robert A. Heinlein,3.97,2:1959,5:11624,,3:6525,,,216
217,354,To Sail Beyond the Sunset,1:260,434,4:3554,total:10560,1,6,Ace Books,194,1988,en-US,Robert A. Heinlein,3.87,2:721,5:3453,0441748600,3:2572,,,217
218,355,Job: A Comedy of Justice,1:377,439,4:5462,total:16459,12,10,Del Rey,440,1985,en-US,Robert A. Heinlein,3.78,2:1418,5:4785,0345316509,3:4417,,,218
220,357,"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)",1:497,307,4:28327,total:74518,15,2,Pocket Books,1415,1991,eng,Douglas Adams,4.06,2:2850,5:27164,0671742515,3:15680,,,220
221,359,"The Salmon of Doubt (Dirk Gently, #3)",1:210,298,4:9591,total:25401,26,4,Del Rey,752,2005,eng,Douglas Adams,3.93,2:1291,5:7843,0345455290,3:6466,,,221
223,365,"Dirk Gently's Holistic Detective Agency (Dirk Gently, #1)",1:1192,306,4:42964,total:113878,1,1,Pocket Books,2457,2002,eng,Douglas Adams,3.98,2:5492,5:38322,,3:25908,,,223
232,385,On Bullshit,1:327,67,4:3339,total:10264,30,1,Princeton University Press,1005,2005,eng,Harry G. Frankfurt,3.5700000000000003,2:1161,5:2184,0691122946,3:3253,,,232
233,386,Another Bullshit Night in Suck City,1:251,347,4:3730,total:10051,12,9,W. W. Norton & Company,909,2005,eng,Nick Flynn,3.79,2:797,5:2733,0393329402,3:2540,,,233
240,394,Lincoln at Gettysburg: The Words That Remade America,1:130,317,4:2319,total:7245,12,6,Simon & Schuster,15,1993,en-US,Garry Wills,4.14,2:327,5:3259,0671867423,3:1210,,,240
244,399,Underworld,1:936,827,4:8513,total:25858,9,7,Scribner,177,1998,eng,Don DeLillo,3.92,2:1924,5:9567,0684848155,3:4918,,,244
245,400,Libra,1:190,480,4:5611,total:13598,1,5,Penguin,572,1991,eng,Don DeLillo,3.99,2:628,5:4436,0140156046,3:2733,,,245
246,403,Americana,1:168,377,4:1612,total:4737,6,7,Penguin Books,55,1989,eng,Don DeLillo,3.43,2:602,5:675,0140119485,3:1680,,,246
249,406,Cosmopolis,1:897,224,4:4097,total:14391,6,4,Scribner,41,2004,eng,Don DeLillo,3.22,2:2545,5:1721,0743244257,3:5131,,,249
250,407,Great Jones Street,1:74,272,4:1005,total:2864,1,1,Penguin Books,149,1994,eng,Don DeLillo,3.48,2:334,5:427,0140179178,3:1024,,,250
251,408,The Names,1:110,339,4:1257,total:3614,17,7,Vintage,213,1989,eng,Don DeLillo,3.64,2:362,5:818,0679722955,3:1067,,,251
252,409,Against the Day,1:143,1085,4:2015,total:6265,21,11,Penguin Press,590,2006,eng,Thomas Pynchon,4.13,2:325,5:2842,159420120X,3:940,,,252
253,410,V.,1:513,547,4:6889,total:18489,5,7,Harper Perennial Modern Classics,179,2005,eng,Thomas Pynchon,3.96,2:1050,5:6495,0060930217,3:3542,,,253
254,411,The Crying of Lot 49,1:2830,152,4:23047,total:65731,1,4,Harper Perennial,231,1999,eng,Thomas Pynchon,3.69,2:6351,5:17146,0060931671,3:16357,,,254
255,412,Gravity's Rainbow,1:1872,784,4:9055,total:34208,1,1,Penguin Books,213,2000,eng,Thomas Pynchon,4.0,2:2472,5:15768,0140283382,3:5041,,,255
256,413,Mason & Dixon,1:250,773,4:2806,total:8963,3,1,Picador USA,609,2004,eng,Thomas Pynchon,4.07,2:508,5:3909,0312423209,3:1490,,,256
257,414,Vineland,1:241,385,4:3528,total:9221,1,9,Penguin Classics,69,1997,en-US,Thomas Pynchon,3.69,2:773,5:2040,0141180633,3:2639,,,257
258,416,Slow Learner: Early Stories,1:60,193,4:1411,total:4043,30,4,Back Bay Books,34,1985,eng,Thomas Pynchon,3.5,2:397,5:562,0316724432,3:1613,,,258
262,420,The Year of Magical Thinking,1:3250,227,4:46936,total:131747,4,10,Knopf Publishing Group,337,2005,en-US,Joan Didion,3.89,2:9363,5:43259,140004314X,3:28939,,,262
263,421,The White Album,1:96,222,4:6143,total:15311,1,10,Farrar Straus Giroux,763,1990,eng,Joan Didion,4.16,2:432,5:6138,0374522219,3:2502,,,263
264,422,A Book of Common Prayer,1:66,272,4:1364,total:3437,11,4,Vintage International,259,1995,eng,Joan Didion,3.8,2:249,5:883,0679754865,3:875,,,264
266,424,Slouching Towards Bethlehem,1:362,238,4:12452,total:33527,1,10,Farrar Straus Giroux,1876,1990,eng,Joan Didion,4.21,2:1016,5:14865,0374521727,3:4832,,,266
267,425,Democracy,1:34,234,4:864,total:2307,25,4,Vintage International,172,1995,en-US,Joan Didion,3.82,2:147,5:619,0679754857,3:643,,,267
270,428,Play It As It Lays,1:470,231,4:10389,total:26972,15,11,"Farrar, Straus and Giroux",1757,2005,eng,Joan Didion,3.88,2:1770,5:7981,0374529949,3:6362,,,270
272,431,The New York Trilogy,1:1287,308,4:22194,total:56393,28,3,Penguin Classics,1895,2006,eng,Paul Auster,3.89,2:3726,5:17093,0143039830,3:12093,,,272
273,432,"City of Glass (The New York Trilogy, #1)",1:319,203,4:5662,total:14459,7,4,Penguin Books,748,1987,eng,Paul Auster,3.79,2:1105,5:3758,0140097317,3:3615,,,273
274,434,"Ghosts (The New York Trilogy, #2)",1:87,96,4:1668,total:4495,7,7,Penguin Books,200,1987,eng,Paul Auster,3.64,2:403,5:899,014009735X,3:1438,,,274
275,435,"The Locked Room (The New York Trilogy, #3)",1:50,179,4:1605,total:3769,1,11,Sun and Moon Press,167,1986,eng,Paul Auster,3.89,2:202,5:1024,0940650762,3:888,,,275
280,446,The Brooklyn Follies,1:274,306,4:9939,total:22296,17,10,Picador,1161,2006,eng,Paul Auster,3.84,2:1203,5:5259,0312426232,3:5621,,,280
281,447,Moon Palace,1:413,320,4:8013,total:20000,1,4,Penguin Books,511,1990,eng,Paul Auster,3.94,2:1090,5:6387,0140115854,3:4097,,,281
284,453,The Music of Chance,1:93,217,4:4106,total:9487,1,12,Penguin Books,36,1991,en-US,Paul Auster,3.91,2:463,5:2567,0140154078,3:2258,,,284
285,454,Travels in the Scriptorium,1:464,145,4:2440,total:8808,23,1,Henry Holt & Company,565,2007,eng,Paul Auster,3.23,2:1492,5:1007,0805081453,3:3405,,,285
286,455,In the Country of Last Things,1:231,188,4:4436,total:10960,2,5,Penguin Books,52,1988,,Paul Auster,3.87,2:641,5:3108,0140097058,3:2544,,,286
287,456,Leviathan,1:122,275,4:6373,total:14561,1,9,Penguin Books,449,1993,eng,Paul Auster,3.96,2:603,5:4199,0140178139,3:3264,,,287
292,463,The Red Notebook: True Stories,1:40,104,4:1463,total:3788,17,6,New Directions,121,2002,eng,Paul Auster,3.77,2:245,5:898,0811214982,3:1142,,,292
293,464,Collected Poems,1:16,192,4:93,total:260,5,1,Harry N. Abrams,3,2004,,Paul Auster,3.58,2:23,5:57,1585674044,3:71,,,293
301,475,Collapse: How Societies Choose to Fail or Succeed,1:1020,608,4:23239,total:57246,27,12,Penguin Books Ltd. (London),2806,2005,eng,Jared Diamond,3.93,2:2859,5:17546,0143036556,3:12582,,,301
304,478,Bowling Alone: The Collapse and Revival of American Community,1:89,544,4:2085,total:5202,7,8,Simon  Schuster,518,2001,eng,Robert D. Putnam,3.8,2:329,5:1293,0743203046,3:1406,,,304
314,493,My Inventions,1:76,88,4:1905,total:5295,17,5,"Filiquarian Publishing, LLC.",268,2006,eng,Nikola Tesla,4.01,2:248,5:1915,1599869942,3:1151,,,314
331,515,Programming Ruby: The Pragmatic Programmers' Guide,1:23,828,4:801,total:1938,11,10,Pragmatic Bookshelf,49,2004,en-US,Dave Thomas,4.03,2:78,5:659,0974514055,3:377,,,331
340,524,Lord of the Flies,1:116319,6,4:729026,total:2162549,11,10,Listening Library (Audio),97,2005,eng,William Golding,3.68,2:197639,5:586981,0307281701,3:532584,,,340
345,536,The Lovely Bones,1:69395,327,4:682502,total:1942369,1,9,Random House,361,2006,eng,Alice Sebold,3.81,2:145577,5:586072,,3:458823,,,345
384,597,Killing Yourself to Live: 85% of a True Story,1:815,245,4:10530,total:27220,13,6,Scribner,1116,2006,eng,Chuck Klosterman,3.81,2:1838,5:7478,0743264460,3:6559,,,384
385,599,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",1:2225,272,4:23490,total:63910,2,7,Scribner,3343,2004,eng,Chuck Klosterman,3.74,2:5384,5:16659,0743236017,3:16152,,,385
391,606,The Vice Guide to Sex and Drugs and Rock and Roll,1:8,362,4:199,total:580,1,9,Grand Central Publishing,37,2003,,Suroosh Alvi,4.06,2:30,5:231,0446692816,3:112,,,391
398,618,Vice DOs & DON'Ts: 10 Years of Vice Magazine's Street Fashion Critiques,1:18,261,4:181,total:631,1,9,Warner Books (NY),65,2004,,Suroosh Alvi,4.17,2:29,5:310,0446692824,3:93,,,398
405,629,"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",1:8040,540,4:59866,total:187150,25,4,HarperTorch,6515,2006,eng,Robert M. Pirsig,3.77,2:17239,5:58822,0060589469,3:43183,,,405
427,656,War and Peace,1:7105,1392,4:76471,total:250130,25,6,Oxford University Press,6350,1998,eng,Leo Tolstoy,4.12,2:12179,5:114496,,3:39879,,,427
432,662,Atlas Shrugged,1:35341,1168,4:90951,total:343606,1,8,Plume,14821,1999,eng,Ayn Rand,3.69,2:31732,5:123585,0452011876,3:61997,,,432
434,664,The Fountainhead,1:19965,752,4:86078,total:288859,26,4,Dutton,230,2005,en-US,Ayn Rand,3.87,2:20846,5:112705,0452286751,3:49265,,,434
435,665,The Virtue of Selfishness: A New Concept of Egoism,1:1462,176,4:3312,total:12285,1,11,Signet,473,1964,eng,Ayn Rand,3.51,2:1194,5:3549,0451163931,3:2768,,,435
437,667,Anthem,1:7187,105,4:40646,total:126792,1,12,NAL,7353,1999,eng,Ayn Rand,3.63,2:12858,5:33137,0452281253,3:32964,,,437
438,668,We the Living,1:721,464,4:8664,total:25534,1,1,Signet,1094,1996,eng,Ayn Rand,3.91,2:1663,5:8875,0451187849,3:5611,,,438
446,676,Sailing Alone Around the Room: New and Selected Poems,1:252,172,4:4289,total:12585,17,9,Random House Trade Paperbacks,635,2002,eng,Billy Collins,4.23,2:406,5:6033,0375755195,3:1605,,,446
453,683,Natural Capitalism,1:18,416,4:703,total:1720,12,10,Back Bay Books,134,2000,,Paul Hawken,4.0,2:81,5:564,0316353000,3:354,,,453
454,685,The Natural,1:338,231,4:3598,total:9768,7,7,Farrar Straus Giroux,680,2003,eng,Bernard Malamud,3.63,2:935,5:2068,0374502005,3:2829,,,454
462,698,Digging to America,1:318,277,4:7577,total:19554,2,5,Alfred A. Knopf,1853,2006,eng,Anne Tyler,3.55,2:1733,5:2792,0307263940,3:7134,,,462
466,703,The Plot Against America,1:775,391,4:17320,total:40517,27,9,Vintage International,3049,2005,eng,Philip Roth,3.77,2:2748,5:9165,1400079497,3:10509,,,466
468,705,Democracy in America,1:296,703,4:7813,total:21652,1,3,Gateway Editions,2,2003,,Alexis de Tocqueville,4.02,2:1054,5:8007,089526160X,3:4482,,,468
469,707,Naked Pictures of Famous People,1:297,164,4:2944,total:9012,22,9,Dey Street Books,418,1999,en-GB,Jon   Stewart,3.59,2:963,5:1956,0688171621,3:2852,,,469
503,759,Collected Stories,1:60,352,4:2729,total:7433,13,5,Harper Perennial Modern Classics,182,2008,eng,Gabriel GarcÃ­a MÃ¡rquez,4.19,2:219,5:3237,0060932686,3:1188,,,503
504,762,CrÃ³nica de una muerte anunciada,1:1260,118,4:46431,total:113971,14,10,Vintage Espanol,435,2003,spa,Gabriel GarcÃ­a MÃ¡rquez,3.97,2:5402,5:36126,1400034957,3:24752,,,504
505,764,Del amor y otros demonios,1:513,176,4:21356,total:52900,7,2,Plaza y Janes,289,2006,spa,Gabriel GarcÃ­a MÃ¡rquez,3.98,2:2283,5:16913,0307350444,3:11835,,,505
506,765,Living to Tell the Tale,1:139,533,4:3380,total:9095,12,10,Vintage,47,2004,eng,Gabriel GarcÃ­a MÃ¡rquez,3.99,2:496,5:3216,140003454X,3:1864,,,506
507,766,Memoria de mis putas tristes,1:1730,112,4:23390,total:65177,19,10,Vintage Espanol,387,2004,spa,Gabriel GarcÃ­a MÃ¡rquez,3.6,2:6172,5:12590,1400095808,3:21295,,,507
510,771,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",1:1934,425,4:31228,total:83528,2,9,Vintage Books USA,1055,2004,eng,Brian Greene,4.07,2:3340,5:32692,0375708111,3:14334,,,510
514,776,Buddhism Plain and Simple,1:68,176,4:2474,total:6760,29,12,Harmony,377,1998,,Steve Hagen,4.08,2:284,5:2635,0767903323,3:1299,,,514
527,794,London,1:6,400,4:315,total:718,1,3,,0,2002,eng,Lonely Planet,4.03,2:17,5:228,186450353X,3:152,,,527
539,815,"Three Nights in August: Strategy, Heartbreak, and Joy Inside the Mind of a Manager",1:243,287,4:2573,total:7380,4,4,Mariner Books,238,2006,eng,H.G. Bissinger,3.88,2:452,5:2438,0618710531,3:1674,,,539
540,816,Cryptonomicon,1:1496,1139,4:30796,total:95487,1,11,Avon,4272,2002,eng,Neal Stephenson,4.25,2:3508,5:47364,0060512806,3:12323,,,540
543,822,"The Confusion (The Baroque Cycle, #2)",1:157,815,4:7822,total:21761,14,6,William Morrow Paperbacks,569,2005,en-US,Neal Stephenson,4.26,2:636,5:10256,0060733357,3:2890,,,543
544,823,"Quicksilver (The Baroque Cycle, #1)",1:1097,927,4:12076,total:34917,21,9,HarperCollins Perennial,1744,2004,eng,Neal Stephenson,3.93,2:2554,5:12590,0060593083,3:6600,,,544
547,827,"The Diamond Age: Or, A Young Lady's Illustrated Primer",1:776,499,4:28073,total:78193,2,5,Spectra,2785,2000,eng,Neal Stephenson,4.19,2:2720,5:34568,0553380966,3:12056,,,547
548,828,Interface,1:57,640,4:2159,total:5387,31,5,Spectra,272,2005,eng,Neal Stephenson,3.68,2:354,5:995,0553383434,3:1822,,,548
550,830,Snow Crash,1:8717,438,4:74135,total:225673,2,8,Bantam Books,6621,2000,eng,Neal Stephenson,4.03,2:12229,5:94251,0553380958,3:36341,,,550
552,835,"Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments, Volume I: Strategic Play",1:8,381,4:778,total:2113,1,12,Two Plus Two Publishing LLC,73,2004,eng,Dan Harrington,4.24,2:33,5:942,1880685337,3:352,,,552
555,840,The Design of Everyday Things,1:236,240,4:9721,total:25607,19,9,Basic Books,1429,2002,eng,Donald A. Norman,4.17,2:888,5:10791,0465067107,3:3971,,,555
556,841,Emotional Design: Why We Love (or Hate) Everyday Things,1:64,272,4:1553,total:4118,11,5,Basic Books,154,2005,eng,Donald A. Norman,3.95,2:209,5:1346,0465051367,3:946,,,556
569,864,The Alchemist,1:96579,192,4:570065,total:1955183,2,5,HarperOne,76,2006,eng,Paulo Coelho,3.87,2:161603,5:739717,0060887966,3:387219,,,569
575,872,The Illustrated Alchemist: A Fable about Following Your Dream,1:96579,198,4:570065,total:1955183,1,11,HarperCollins Publishers,33,1998,en-US,Paulo Coelho,3.87,2:161603,5:739717,006019250X,3:387219,,,575
579,880,Pompeii,1:408,274,4:14080,total:33848,8,11,Random House Trade Paperbacks,1743,2005,eng,Robert   Harris,3.82,2:1970,5:8291,0812974611,3:9099,,,579
587,890,Of Mice and Men,1:54005,103,4:651494,total:1857114,8,1,Penguin Books,25882,2002,eng,John Steinbeck,3.87,2:128601,5:601885,0142000671,3:421129,,,587
